Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,FB,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2016-06-21,23.977500915527344,59.97999954223633,715.8200073242188,155.80999755859375,13.619999885559082,143.52999877929688,157.1999969482422,103.23999786376953,98.81999969482422,114.37999725341797,695.9400024414062,708.8800048828125,127.73999786376953,116.18000030517578,62.95000076293945,45.130001068115234,95.11000061035156,51.189998626708984,11.817500114440918,32.96963882446289,83.41000366210938,43.922000885009766,138.19000244140625,77.33000183105469,91.52999877929688
2016-06-22,23.887500762939453,60.38999938964844,710.5999755859375,155.13999938964844,13.609999656677246,143.94000244140625,158.1199951171875,102.29000091552734,98.79000091552734,113.91000366210938,697.4600219726562,710.469970703125,127.5999984741211,116.45999908447266,62.709999084472656,44.86000061035156,94.05999755859375,50.9900016784668,11.807499885559082,32.703983306884766,83.56999969482422,39.332000732421875,137.89999389648438,76.52999877929688,91.16999816894531
2016-06-23,24.024999618530273,61.310001373291016,722.0800170898438,158.6199951171875,14.039999961853027,145.97999572753906,157.02999877929688,104.44000244140625,99.0199966430664,115.08000183105469,701.8699951171875,714.8699951171875,128.2899932861328,117.37999725341797,64.05000305175781,45.08000183105469,95.70999908447266,51.90999984741211,12.1225004196167,32.81783676147461,84.20999908447266,39.279998779296875,139.19000244140625,78.2300033569336,91.80000305175781
2016-06-24,23.350000381469727,59.86000061035156,698.9600219726562,148.72000122070312,13.0,139.7100067138672,155.55999755859375,101.9000015258789,95.72000122070312,112.08000183105469,675.219970703125,685.2000122070312,126.4000015258789,115.62999725341797,59.599998474121094,43.93000030517578,91.47000122070312,49.83000183105469,11.432499885559082,32.2296028137207,82.26000213623047,38.630001068115234,137.2899932861328,75.05000305175781,89.38999938964844
2016-06-27,23.010000228881836,58.68000030517578,691.3599853515625,143.6300048828125,12.180000305175781,138.5,154.25999450683594,100.36000061035156,94.37999725341797,108.97000122070312,668.260009765625,681.1400146484375,124.66999816894531,116.55000305175781,57.61000061035156,43.779998779296875,89.06999969482422,48.43000030517578,11.3100004196167,32.06830978393555,81.2300033569336,39.709999084472656,137.11000061035156,73.33999633789062,88.86000061035156
2016-06-28,23.397499084472656,59.9900016784668,707.9500122070312,149.77000427246094,12.699999809265137,140.27999877929688,155.60000610351562,101.62999725341797,96.05000305175781,112.69999694824219,680.0399780273438,691.260009765625,127.52999877929688,118.2300033569336,59.52000045776367,44.18000030517578,90.41999816894531,49.439998626708984,11.475000381469727,32.67552185058594,82.45999908447266,40.358001708984375,138.7100067138672,75.16000366210938,90.91000366210938
2016-06-29,23.600000381469727,61.810001373291016,715.5999755859375,155.0,13.1899995803833,142.1199951171875,157.0800018310547,103.41999816894531,96.9800033569336,114.16000366210938,684.1099853515625,695.1900024414062,127.37000274658203,119.33000183105469,61.20000076293945,44.439998626708984,92.12999725341797,50.540000915527344,11.662500381469727,33.2163200378418,83.91000366210938,42.03799819946289,140.52000427246094,76.73999786376953,92.45999908447266
2016-06-30,23.899999618530273,61.90999984741211,715.6199951171875,155.39999389648438,13.270000457763672,144.7899932861328,157.0399932861328,104.83000183105469,97.81999969482422,114.27999877929688,692.0999755859375,703.530029296875,127.69000244140625,121.30000305175781,62.13999938964844,45.33000183105469,88.05999755859375,51.16999816894531,11.7524995803833,33.406070709228516,84.66999816894531,42.45600128173828,141.1999969482422,74.16999816894531,93.73999786376953
2016-07-01,23.97249984741211,62.709999084472656,725.6799926757812,154.22000122070312,13.100000381469727,143.9600067138672,156.11000061035156,104.1500015258789,98.02999877929688,114.19000244140625,699.2100219726562,710.25,129.6199951171875,121.29000091552734,61.2599983215332,45.119998931884766,88.8499984741211,51.15999984741211,11.664999961853027,33.74762725830078,84.77999877929688,43.29999923706055,140.86000061035156,74.4800033569336,93.83999633789062
2016-07-05,23.747499465942383,61.91999816894531,728.0999755859375,150.75999450683594,12.739999771118164,142.22999572753906,155.25,103.56999969482422,97.66000366210938,114.19999694824219,694.9500122070312,704.8900146484375,129.35000610351562,122.2699966430664,59.54999923706055,45.43000030517578,88.23999786376953,51.16999816894531,11.837499618530273,33.9753303527832,85.44000244140625,42.79600143432617,141.55999755859375,74.66999816894531,93.0199966430664
